#Probeset  	10h_control	      10h	      14h	      18h	      24h
201118_at  	   9.098291	 8.670028	 8.739764	 8.822142	 8.475341
201127_s_at	    8.55848	 8.695215	 9.047193	 8.867749	 7.645967
201128_s_at	  10.138989	 8.993547	  9.08733	 8.759354	 8.064415
201129_at  	   8.126758	 6.079218	 6.150753	  6.29861	 4.701116
201132_at  	   7.726437	 5.400537	 6.046715	 5.895525	 4.322797
201135_at  	   9.815336	 9.757032	  9.81032	 9.798688	 9.456423
201142_at  	   8.800846	 8.416252	 8.683638	    8.511	 8.176097
201143_s_at	   7.599705	 6.150793	 6.546611	 6.747275	 6.000284
201144_s_at	  10.281545	 9.851864	 9.902806	 9.941353	 9.804765
201154_x_at	  12.564966	12.556703	12.606506	12.539504	12.513578
201157_s_at	   8.797826	 7.892052	 8.048127	 7.967387	  7.53218
201158_at  	   7.250496	 7.087612	  6.70385	 7.099004	 6.283792
201159_s_at	   7.001465	 6.647226	 6.862299	 6.539381	  7.31238
201198_s_at	   9.788193	 9.673986	 9.773343	 9.638276	 8.966852
201199_s_at	   9.409616	 9.364183	  8.99937	 9.399276	  9.07054
201202_at  	  10.284026	 9.502253	  9.97292	 9.765613	 8.987297
201217_x_at	  12.450461	12.373907	12.453261	12.496526	12.400524
201221_s_at	   8.758148	 8.609464	 8.859495	 9.179463	 8.446689
201222_s_at	  10.256486	 9.292579	 9.514869	 9.521988	 8.571337
201223_s_at	    9.48575	 7.909938	 8.443942	 8.435371	 7.555983
201231_s_at	  12.152119	11.979027	12.083862	12.066412	11.870158
201232_s_at	   9.105732	 8.890251	 9.299989	 9.290018	  8.58031
201233_at  	   7.647478	  7.92123	  8.13889	 8.331896	 7.947984
201249_at  	   4.115727	 3.517198	 3.692821	 3.769834	 4.259397
201250_s_at	   7.883127	 7.175516	 7.262309	 7.347226	 7.154256
201252_at  	    8.43982	 7.709285	 8.106951	 8.401384	 7.856611
201266_at  	  10.215512	 9.660396	 10.06439	 10.05675	 9.658605
201267_s_at	   9.542543	 9.302652	 9.299103	 9.334086	 8.864677
201268_at  	  11.164456	11.408852	11.531263	11.547141	11.136373
201274_at  	  10.029817	 9.523092	 9.958378	 9.996735	 9.474645
201282_at  	   6.293081	 6.688532	 6.236713	 6.375934	 6.546913
201313_at  	   7.780428	 7.254847	 7.608128	  7.53747	  7.66428
201316_at  	   7.634429	 6.407741	 6.780205	 6.418469	 6.906591
201317_s_at	  10.806671	10.261768	10.407493	10.528903	 9.852701
201322_at  	  11.079875	11.223186	11.235967	11.318824	11.089602
201338_x_at	   10.15536	 9.979779	10.052895	10.120224	 9.307206
201356_at  	   8.833263	 8.294073	 8.254484	 8.656633	 8.222078
201357_s_at	   7.199224	 7.113319	 6.985557	 7.360195	 6.737225
201376_s_at	   8.554428	 8.511545	 8.652693	 8.682369	 7.734783
201388_at  	   7.873075	 7.718912	 7.681954	 7.857592	  7.24965
201394_s_at	   7.833167	 7.604464	 8.121611	 8.040552	 7.146293
201395_at  	   8.566889	 8.382968	 8.471253	 8.466485	 7.845982
201400_at  	  10.351745	10.298193	10.393332	10.365543	 9.974465
201404_x_at	   9.075015	 9.310893	 9.230084	  9.72203	 9.095859
201425_at  	   8.423986	 7.694138	 7.628218	 7.753249	 7.528629
201432_at  	   7.899414	 6.950476	 6.964282	 6.764844	 6.432673
201435_s_at	   9.903185	 8.470213	 9.193214	 9.386042	 8.155856
201436_at  	   5.885482	 4.107367	 5.024518	 4.727947	 4.252887
201437_s_at	   8.241485	 5.595114	 6.527848	  5.98401	 5.449894
201440_at  	   7.905156	 7.566424	 7.856427	 7.930089	 7.379544
201463_s_at	    9.95509	 9.792514	 9.850621	 9.861714	 9.414888
201469_s_at	   8.910978	 8.608683	 8.681909	 8.882749	 8.219096
201476_s_at	   9.257237	 8.675714	 8.737518	 8.609994	 7.893563
201477_s_at	   8.967371	 8.436101	  9.00236	 8.554618	 7.676992
201480_s_at	   7.508318	 7.833599	 7.858905	 7.998236	 7.705414
201483_s_at	   8.228716	 7.757162	 7.939844	 7.913256	 7.375431
201484_at  	   7.427704	 7.154908	 7.227203	 7.283913	 7.313101
201509_at  	   7.648695	 7.656252	 7.794074	 7.655859	 8.134369
201517_at  	   7.867889	 7.313724	 6.772304	 7.349587	 6.535792
201521_s_at	   7.498877	 7.159427	  7.19857	  7.51398	 7.275617
201528_at  	   8.847736	 7.235774	 7.710525	 7.696413	 6.629817
201529_s_at	   9.152645	  8.14368	 8.500051	 8.559179	  7.78592
201532_at  	   10.13337	 9.330707	 9.563771	 9.680736	  8.65337
201554_x_at	   8.987565	   8.4922	 8.751822	 8.510156	 8.571229
201555_at  	   9.074728	 8.294017	  8.65098	 8.836891	  8.59408
201571_s_at	   8.725365	 8.400617	 8.433962	 8.534662	 8.126529
201572_x_at	   8.937353	 8.238147	 8.432515	 8.618601	 8.171133
201577_at  	  11.265289	11.130427	 11.31343	  11.2048	 10.71787
201589_at  	   8.977824	 7.231215	 7.380885	 7.626935	 6.335739
201592_at  	  11.313424	11.488948	11.517889	11.497127	11.219188
201599_at  	   9.400362	  7.90137	 8.229792	 8.412925	 7.441435
201612_at  	   8.315994	  7.71728	 7.249478	 7.497609	 7.396256
201632_at  	   8.352928	 7.653628	 7.251649	 7.810645	 7.102353
201638_s_at	   7.021953	 7.117973	 6.920544	 6.305569	 7.404919
201639_s_at	   7.265788	 7.552361	 7.663895	 7.866392	 7.314125
201665_x_at	  12.582804	12.621435	12.651908	12.690933	12.589411
201673_s_at	   7.774215	 7.567967	 7.588059	 7.776212	  7.35166
201676_x_at	   10.71285	10.351996	10.457325	10.423599	 9.868074
201695_s_at	   10.10934	 9.239273	 9.894939	 9.743561	 9.177556
201696_at  	   8.448596	 8.000777	 8.123095	 8.227575	 7.994104
201698_s_at	  10.362538	10.187698	10.301427	10.338579	 9.578656
201700_at  	   9.323472	 9.059151	 8.815511	  8.66447	 8.412637
201705_at  	   8.396815	  7.88927	 7.635615	 7.794326	 6.320804
201741_x_at	    5.61017	 5.987601	 6.079029	 5.683744	 5.522801
201742_x_at	  11.187686	10.148419	10.158106	10.327676	 9.705472
201746_at  	   6.338484	 5.480857	 5.469908	 5.341843	 4.667539
201755_at  	   7.714576	 7.319302	 7.619516	  7.76269	 7.503534
201756_at  	   9.168098	 8.190901	 8.014751	 8.199542	 6.833475
201762_s_at	   9.632824	 9.505289	 9.629675	 9.603183	 8.937943
201770_at  	    9.27723	 8.773639	 9.147847	 9.189717	 8.877075
201786_s_at	   9.061198	 8.797127	 8.868662	 8.999592	 8.525849
201801_s_at	   8.544754	 7.589714	 7.889369	 7.981195	 7.556952
201802_at  	   8.518491	 8.321326	 8.588907	 8.831359	 8.564027
201803_at  	   9.750821	 9.077974	 9.577329	 9.597164	 9.005851
201853_s_at	   7.661163	 7.483095	 7.329913	 7.598551	 7.600092
201890_at  	   9.809316	 8.542762	 8.977514	 8.343866	 8.137845
201892_s_at	  10.028892	 9.985639	10.264938	10.153904	 9.763711
201909_at  	   6.403679	 6.522388	 6.514102	 5.946303	 6.060739
201930_at  	   10.06938	 9.298393	 9.081557	 9.156729	 8.411054
201956_s_at	   8.609735	 8.160418	 7.809345	 7.729076	 7.311516
201968_s_at	   7.831718	 7.478105	 7.374574	 7.213849	  6.89031
202004_x_at	   8.941901	 8.479664	 8.664167	 8.466234	 8.029975
202022_at  	   6.271117	 6.948611	 6.753223	 6.660172	 6.540089
202029_x_at	   12.48684	12.740166	12.559385	12.564844	 12.47966
202069_s_at	   9.203558	 6.996668	 7.395548	 7.488394	 5.494327
202070_s_at	    8.49537	 7.494978	 7.805451	 7.710735	 7.662377
202072_at  	  10.032387	10.069227	10.103996	10.375575	 9.871934
202107_s_at	   9.700528	 8.932011	 9.230084	 9.105625	 8.643113
202112_at  	   4.798375	 4.986948	 4.779835	  4.47295	 5.109824
202144_s_at	   9.375675	   9.0632	 9.266825	 9.241006	 8.367754
202148_s_at	    8.95001	 8.841911	 8.957185	 8.875305	 8.882637
202168_at  	   9.941624	 9.760528	   9.7982	 9.731269	 9.023104
202176_at  	   8.181716	 7.487184	 7.820296	 7.807527	 7.369596
202189_x_at	  10.521021	10.353481	10.261299	10.698409	10.142175
202190_at  	   7.064405	 6.474143	 6.247117	 6.646168	 6.734068
202243_s_at	  10.435428	10.882472	 10.16076	 9.979693	 9.607565
202244_at  	   10.87342	 11.03975	 10.54977	 10.53855	10.193449
202246_s_at	   9.960116	 9.719463	  9.79642	 9.858319	 9.465535
202256_at  	   7.517219	 7.857804	 7.990587	 7.865398	 7.599078
202257_s_at	   8.290225	 7.619197	 8.095162	 8.010769	 8.542187
202275_at  	   7.086871	 6.875227	 6.953473	 7.128171	 6.881813
202282_at  	   9.565957	 9.401927	 9.654738	 9.582455	 9.299996
202310_s_at	   4.091237	 4.320838	 4.595043	 4.532559	 5.555635
202311_s_at	   3.600641	 3.632403	 4.210206	  3.64601	  4.42546
202312_s_at	   6.064498	 7.450878	 7.347675	 7.005764	   7.6474
202320_at  	   7.350054	  7.56165	 7.321435	 7.670811	 7.862608
202325_s_at	  10.001858	 8.853816	 9.020683	 9.373503	 8.672954
202331_at  	   7.508954	 7.476324	 7.670516	 7.663111	 8.075186
202338_at  	   7.607291	 7.205465	 7.337182	 7.309894	  7.35179
202352_s_at	  10.285861	 9.316087	 9.704443	 9.783902	 8.923676
202353_s_at	   9.176255	 7.361629	 7.786393	 7.891028	  6.27238
202354_s_at	    7.52723	 7.555383	 7.369947	  7.09256	 7.701058
202355_s_at	   7.359196	 7.206726	  7.01754	 7.311206	 7.023906
202356_s_at	   7.596173	 6.977725	 7.257154	 7.325833	 7.268685
202366_at  	   7.048069	 7.621792	 7.564083	 7.766646	 7.609786
202403_s_at	   6.210271	 6.481707	 6.385798	 6.388287	 6.562552
202404_s_at	   3.666756	 3.839818	 3.835395	 4.145096	 4.081136
202414_at  	   6.238328	 5.891503	  5.39643	 6.134637	 5.145528
202420_s_at	    9.02678	  9.03271	 9.293335	 9.294401	 9.230291
202447_at  	   8.484899	 7.736798	 7.784062	 7.605101	 6.575379
202451_at  	   8.303954	 6.738435	 7.414878	 7.099654	 5.947617
202453_s_at	   7.888727	 7.603993	  7.37771	 7.826821	 7.162883
202461_at  	   8.415177	  8.18613	 8.208542	 8.073812	 8.174693
202464_s_at	   7.454342	 5.858098	 5.893593	 5.909685	 5.226387
202471_s_at	   8.582943	 7.553993	 7.850763	 7.727763	 8.104654
202497_x_at	   6.843252	 6.958651	 6.510727	 6.785135	 6.789234
202498_s_at	   4.347401	 4.149803	 4.154036	 4.207757	 4.257193
202499_s_at	    5.59512	 4.974858	 4.889228	 5.088668	 5.036275
202502_at  	   8.366006	 6.686038	 7.177685	 7.048649	  5.50323
202505_at  	   9.596732	  8.57365	 9.118913	 9.265683	 7.992212
202528_at  	   6.893757	 6.828359	 6.687467	  7.09256	 7.002642
202535_at  	   8.070701	 7.183623	 7.551967	 7.758085	  6.53697
202587_s_at	   9.124335	 8.682749	 8.994179	 8.904822	 8.483188
202588_at  	   7.011504	 7.231113	 6.951055	  7.14107	 7.173208
202589_at  	  10.675139	10.437658	10.761341	10.586686	  9.96438
202613_at  	   8.821886	  7.96565	 8.063149	 8.204473	 7.885737
202615_at  	   8.036469	 6.483094	 7.169148	 6.949429	  6.18271
202627_s_at	  11.455571	11.201371	11.324769	11.262761	11.002711
202628_s_at	   9.176102	 9.031066	 8.942642	 9.052064	  7.57959
202634_at  	   8.266753	 6.703818	 6.748953	 6.801819	 5.750818
202635_s_at	   9.018778	 8.129263	 8.547847	 8.637679	 7.448158
202649_x_at	  12.121111	11.968592	12.232201	12.210492	12.037908
202659_at  	   7.117909	 7.160999	 7.294334	 7.127833	 6.905619
202675_at  	    8.78782	  8.09117	  8.22279	 8.386766	 7.584855
202678_at  	   9.664592	 8.763221	 9.225722	 8.984698	 7.763868
202680_at  	    7.78858	 6.798879	 7.407716	 7.400299	 7.287634
202683_s_at	   7.119514	 6.992919	 6.919301	 7.063658	 7.486419
202684_s_at	   4.979669	 3.749527	 4.112572	  3.87906	 3.726616
202687_s_at	   3.515453	 4.282026	 3.642569	 4.007067	 4.445091
202688_at  	   3.847998	 3.901953	  4.02623	 3.801661	   3.9817
202692_s_at	   7.016065	  7.21599	 7.027344	 7.307422	 7.016156
202697_at  	   9.339609	 8.051338	 8.162207	 8.239181	 7.168658
202705_at  	   9.097078	 8.315996	 8.070457	 8.652313	 7.438784
202706_s_at	   8.540868	  7.33331	 7.885936	 7.997377	 7.058111
202707_at  	   5.754878	  5.69775	 5.426729	 5.581031	 5.480372
202715_at  	   8.243068	 8.126959	 8.191898	 8.454153	 8.105351
202725_at  	    6.45355	 6.218929	 6.222952	 6.511286	 6.774803
202726_at  	   7.466196	 7.378346	 7.504643	 7.901116	 7.148899
202738_s_at	   6.745151	 5.927142	 5.967026	 6.148091	 5.901835
202739_s_at	   5.577232	  5.17355	 4.875586	 4.925488	 4.855194
202753_at  	  10.440021	 9.983591	10.133851	10.126984	 9.713953
202757_at  	   8.364107	  7.72853	 7.778791	 7.917656	 6.806755
202763_at  	   7.015512	 6.310018	 6.489018	 6.883636	 5.925353
202772_at  	   7.558855	 7.671339	 7.764866	 7.557107	 8.256267
202780_at  	   8.832231	 8.635551	 8.334351	 8.453614	 7.965539
202818_s_at	    6.93481	 7.163489	 7.029314	 7.230177	 7.141476
202819_s_at	   6.146816	 6.072356	 5.797975	 5.535153	 7.300117
202823_at  	   7.690764	 5.507525	 6.221522	 6.230381	 5.360858
202824_s_at	  10.268689	 9.607114	 9.656825	 9.804657	 9.448713
202825_at  	   8.255201	 8.057333	 8.093596	 7.814849	 8.063351
202833_s_at	   3.674855	 3.768297	 4.084498	 3.911226	 4.044408
202854_at  	   9.823033	 8.851771	 8.934524	 9.138439	 8.319868
202858_at  	  10.387472	10.653645	10.634477	 10.50696	10.018321
202862_at  	   7.211523	 6.737684	  6.73564	  6.79127	 7.225804
2028_s_at  	   6.735078	 6.680542	 6.569282	 6.441178	 7.063465
202905_x_at	    8.27594	 7.343896	 7.821223	 7.554161	 6.628637
202906_s_at	    8.14981	 6.929509	 7.311685	 7.557238	 6.463904
202907_s_at	   8.855374	 7.389115	 7.711434	  7.61487	 6.502275
202930_s_at	   7.713868	 5.772803	 6.010438	 6.319002	 4.221571
202934_at  	   8.307381	 7.809875	 8.242842	  8.24329	 8.171017
202959_at  	   5.773601	 4.475006	 5.359381	 4.549294	 5.140604
202960_s_at	   7.237302	 5.673846	 5.929421	 6.422646	 5.049405
202961_s_at	  11.152285	11.190001	11.205906	 11.29966	10.688324
202990_at  	   7.433899	 6.477903	 6.887988	 7.196728	 6.781919
202996_at  	   7.205911	 7.607374	 7.355515	 7.302045	 8.371588
203032_s_at	   7.344317	 5.742839	 5.964155	 5.575663	 5.948087
203033_x_at	   9.021241	 9.248695	 9.169472	 9.272072	  8.89496
203034_s_at	  12.734181	12.623573	 12.67698	12.583326	12.385559
203041_s_at	   6.892107	 6.223601	 6.087536	 5.705611	 5.712987
203042_at  	    5.78075	  4.46864	 4.474162	 4.774575	  4.71945
203050_at  	   7.427406	 7.328425	  6.80409	 7.231693	 6.986773
203055_s_at	   6.865227	 8.344627	 7.963356	 7.912671	 8.149351
203061_s_at	   6.671067	 6.866646	 6.678101	 7.164204	   7.9983
203062_s_at	   6.834147	 6.578447	 6.698749	 6.636466	 5.827585
203067_at  	   8.230866	 6.563094	  7.21067	 7.202101	   6.6081
203083_at  	    5.78221	 5.927142	 5.971972	 5.739798	 5.805244
203084_at  	   5.480604	 6.853932	 6.539084	 6.667682	 6.664697
203085_s_at	   7.224516	 7.162636	 7.280628	 7.711719	 7.389339
203107_x_at	  13.166493	13.106134	13.155082	 13.15247	13.118873
203112_s_at	   7.419477	 5.881931	 6.377476	 6.533169	 5.362726
203132_at  	   7.449723	 4.764841	 5.013694	 5.340775	 4.265356
203135_at  	   7.332831	 6.863641	  7.04701	 6.908774	 6.753721
203157_s_at	   6.072067	  6.17781	 6.012034	 5.563651	 5.941002
203158_s_at	   4.625439	 5.158416	 4.608612	 4.605599	 5.468435
203159_at  	   6.483419	 6.726632	 6.925954	 6.670424	 7.411012
203178_at  	   3.194517	 3.134574	 3.304548	 3.285271	 2.938238
203198_at  	   8.198615	 7.681974	 7.804032	 7.872712	 7.740203
203209_at  	    8.17103	 6.702443	 6.544935	 7.057652	 5.755144
203210_s_at	   7.727114	 6.536429	 6.707802	 6.665042	 6.463428
203213_at  	   8.290609	 6.955425	 7.469123	 7.511372	 6.754846
203214_x_at	   9.033995	 8.572241	 8.964032	 8.916804	 8.511505
203234_at  	  10.564452	10.812991	  10.8775	11.114509	10.556818
203270_at  	   7.784797	  7.46725	 7.822538	 7.867003	 7.967563
203282_at  	   8.214832	 6.205654	 6.470867	 6.687503	 5.781365
203302_at  	   6.747611	 4.999936	 4.626119	 4.548962	 4.152414
203305_at  	    5.54931	 5.586763	 5.367018	 5.541579	 5.768199
203310_at  	   6.684546	 4.911923	 5.182446	 5.208088	 4.519978
203351_s_at	    8.54911	 6.945712	 7.337732	 7.441994	 6.065814
203352_at  	   6.383235	 5.728723	 5.498061	 5.139763	 4.833146
203376_at  	   7.886117	 7.411513	 7.728948	 7.619968	 7.595917
203377_s_at	   6.158431	 4.980166	 5.537014	 5.337211	 5.028948
203378_at  	   5.640286	 5.526383	 5.570193	 5.817288	 4.421804
203380_x_at	   8.832751	 8.245759	 8.970719	 8.621357	 7.769841
203396_at  	  10.109431	 8.911984	 9.546629	 9.416707	 8.424001
203401_at  	   8.652361	 7.370095	 7.434787	 7.475844	 5.958735
203409_at  	   7.159403	 7.153769	 7.396239	  7.38383	 7.235098
203418_at  	   8.424717	 7.688618	 7.921303	 7.876114	 6.864217
203422_at  	   7.461653	 7.673587	 7.880237	 7.768297	 7.831144
203447_at  	   8.796751	 8.039612	 8.352616	 8.323482	  7.95493
203462_x_at	    9.57696	 9.190375	 9.429654	 9.520592	  8.96422
203500_at  	   7.088529	  7.40637	 7.113412	 7.224029	 7.318812
203530_s_at	   7.700227	  7.29052	 7.056197	 7.558255	 6.947777
203565_s_at	   7.186042	 6.807766	 7.028751	 7.294475	 6.380913
203566_s_at	   7.461391	 4.685879	 5.003052	 5.341686	 5.028823
203572_s_at	   8.262266	 7.808682	 7.840137	 8.205212	 7.956042
203576_at  	   8.602316	 8.512105	 8.497631	 8.558491	 8.645987
203577_at  	   6.764243	 6.487934	 6.622142	 6.880814	 6.583294
203616_at  	   8.917364	  8.38848	 8.570984	 8.420939	 8.471303
203655_at  	   5.629815	 7.041225	 6.677192	 7.001603	 6.965554
203664_s_at	   7.926006	 7.329452	 7.510837	 7.454437	 6.362611
203669_s_at	    7.27671	 7.308543	 7.109521	 7.344356	 7.545278
203682_s_at	   6.811475	 7.482288	 7.134551	 7.225296	 6.708939
203683_s_at	   5.728584	 5.781527	  5.85425	 5.968068	   5.8516
203684_s_at	   6.031615	 6.771752	 6.534263	  6.47158	 6.081681
203685_at  	   5.022142	 4.717183	 5.081411	 4.447905	 4.689114
203686_at  	   7.118125	 7.656013	 7.623158	 7.578899	 6.973116
203692_s_at	   7.120515	 6.811934	 7.252124	   7.3237	 8.084937
203693_s_at	   7.824334	 6.618135	 6.906169	 6.371591	 5.716625
203696_s_at	   8.547119	 7.300415	 7.534715	 7.660209	 6.864239
203709_at  	   6.259908	 6.817279	 6.545761	 6.805621	 6.499442
203710_at  	   3.545576	 3.516491	 3.155898	 3.009646	 4.185223
203711_s_at	   4.246703	 4.287129	 4.559201	 4.327321	 4.137381
203719_at  	   8.758197	  8.57774	 8.482864	  8.26274	  7.80016
203720_s_at	   9.607294	 9.308561	 9.602596	 9.451333	 9.096316
203722_at  	   6.008421	 6.071122	 5.949808	 6.374895	 6.157718
203728_at  	   7.907341	 7.635144	 7.699747	 7.620592	 7.164211
203743_s_at	   7.938208	 6.501125	 6.587096	 7.017735	 5.713542
203754_s_at	   6.653463	 7.062928	 7.059073	 7.359212	 7.591612
203816_at  	    7.78841	 7.735111	 7.703812	 7.665077	 5.954879
203818_s_at	    8.54958	 8.033498	 8.316042	 8.186601	 7.575435
203845_at  	   5.743338	 4.815848	 4.447951	 5.154267	 4.539341
203860_at  	   3.639517	  3.72496	 3.466484	 3.636336	  3.66396
203865_s_at	   6.167521	 6.112039	 5.962991	 5.982465	 5.467249
203887_s_at	   3.882649	 4.578769	 5.517865	 4.718617	 4.864161
203888_at  	   5.780356	 5.610452	 5.988294	 5.685231	 6.186119
203893_at  	   8.109936	 6.834478	 7.326926	 7.224029	 6.851849
203926_x_at	   7.418056	 7.804923	 7.825775	 8.053554	 7.811796
203937_s_at	   6.376028	  6.42542	 6.409026	  6.17129	 6.074193
203938_s_at	   7.297567	 7.605499	 7.249733	 7.379877	 7.659944
203939_at  	   3.227989	 3.562177	 3.447584	 3.471777	 3.507668
203967_at  	   7.885693	 6.593298	  6.64586	 6.897122	 5.504822
203968_s_at	   7.726235	 6.656869	 6.603618	 6.711893	 5.476273
203984_s_at	    6.59568	 7.132778	  6.92213	 6.946636	 7.214212
203989_x_at	   2.951983	 3.160479	 3.597118	  3.23523	 3.011754
204001_at  	   5.310805	 4.471446	 4.109228	 4.691793	 3.889228
204023_at  	   8.963645	 7.606177	 8.259862	 8.321365	 7.052645
204031_s_at	  10.224541	10.310074	10.385954	10.567052	10.061555
204093_at  	   8.851503	  8.30398	 8.295731	 8.471958	 7.328497
204095_s_at	   6.538486	 6.812309	 6.904181	 6.902691	 7.240721
204096_s_at	   6.729922	 7.121799	 7.547732	  7.43789	 7.063284
204104_at  	   7.078755	 8.359164	 8.243768	 8.223978	 7.986582
204119_s_at	   8.562034	 7.925743	 7.963558	 8.068847	 7.731724
204120_s_at	   6.012971	 4.147663	 4.413291	 4.292401	 3.569847
204123_at  	   6.659908	 6.561828	 6.442305	 6.334435	 6.699428
204126_s_at	   7.573737	 7.480732	 7.356507	 7.404012	 7.009485
204127_at  	   8.652538	 6.651088	 7.665029	 7.168007	 6.581374
204128_s_at	   8.176849	 6.385384	 7.173865	 6.986304	 5.737995
204147_s_at	   7.521711	 7.391674	 7.408508	 7.743565	 7.261836
204169_at  	   8.664386	 8.266291	 8.515363	 8.725057	 8.687772
204200_s_at	   5.983182	 6.793424	 6.501249	 6.827583	 7.537413
204207_s_at	   7.413107	 6.609172	 7.023109	 6.262148	 6.015563
204208_at  	    5.89621	 5.337285	 5.880364	  5.54931	  4.65719
204227_s_at	   6.262596	 6.627174	 6.453705	 6.651907	 6.244783
204232_at  	    5.68281	 6.051915	 6.087536	 5.767474	 6.348732
204244_s_at	    7.81536	 5.720144	 6.665688	 6.324625	 5.967376
204252_at  	   9.188075	 8.234579	 8.268963	 8.370891	 7.960322
204267_x_at	   8.027213	 8.447297	 8.301235	 8.377072	 8.328754
204276_at  	   4.952763	  4.85612	 5.211376	 5.137199	 5.262539
204277_s_at	   6.677529	 7.137898	 7.198396	 6.919618	 7.916624
204279_at  	   6.134979	 5.953707	 6.109055	 5.891603	 6.261384
204285_s_at	   8.475683	 7.059408	 7.940701	 7.493988	 5.933421
204286_s_at	   6.678493	 5.005695	 5.450604	 5.364415	 4.280939
204290_s_at	   5.983111	  5.80184	  6.03842	 5.700119	 5.926911
204366_s_at	   8.390821	 7.815416	 8.050626	 7.970667	 7.646529
204370_at  	   8.383291	 7.525273	 7.871981	  7.27355	 6.865572
204374_s_at	   6.174769	 6.373223	 6.304897	 6.117152	 7.229517
204385_at  	   7.267973	 7.439515	 7.388241	 7.354973	 7.384531
204413_at  	   7.008925	 7.543209	 7.666001	 7.878774	 7.277459
204441_s_at	   7.276193	 6.823098	 6.825306	  6.86568	 6.670881
204459_at  	   7.710893	 7.236336	 7.630072	 7.523601	 7.295016
204476_s_at	   6.455419	 6.934931	  7.22883	 6.783238	 8.015755
204483_at  	   6.272889	 6.363987	 6.621634	 6.262359	 7.448299
204493_at  	    7.99269	  6.83911	   6.8849	 7.039121	 6.436318
204510_at  	   7.282204	 5.851107	 5.919738	 5.911992	 5.343857
204531_s_at	   6.300711	 6.326498	 6.426063	 6.346153	 5.654794
204607_at  	   5.910891	 5.703336	 5.782805	  5.53635	 6.554672
204608_at  	    7.07019	 6.409071	 6.640281	 6.468922	 6.683327
204613_at  	   6.521197	 5.778851	 6.196617	  6.31931	 6.121129
204625_s_at	   5.393751	 5.526663	 5.051307	 5.538555	 5.690278
204626_s_at	   5.835221	 6.150566	 6.232703	 6.025959	  5.98728
204627_s_at	   4.327253	 4.126847	 4.291706	 4.292401	 3.625357
204628_s_at	   5.853032	 6.080739	 6.041431	  6.14946	 6.242987
204639_at  	   7.409752	 6.465222	 6.832888	 6.783909	 7.093193
204645_at  	   6.021257	 5.329542	 5.802703	 5.275198	 5.198751
204646_at  	   3.151419	 3.641094	 3.164282	 3.270587	 3.404965
204686_at  	   4.990937	 5.050183	 5.279676	 5.147882	 4.478041
204695_at  	   8.759437	  8.75989	 8.781145	 8.674273	  8.25997
204696_s_at	   7.427352	 7.463927	 7.222281	 7.619449	 7.815613
204704_s_at	   2.876563	 3.095392	 3.456648	 3.100283	 3.226441
204705_x_at	   5.565426	 6.379799	 5.757574	 5.694981	 6.410109
204713_s_at	   6.648779	 6.802733	 6.607588	 6.348817	 7.218898
204714_s_at	   4.632615	 5.311286	 4.813604	 5.061755	 5.368729
204717_s_at	   5.821476	 6.458008	 6.201004	 6.054504	 6.090778
204767_s_at	   8.286109	  7.76924	 7.817214	 7.764345	 6.851201
204768_s_at	   8.104341	 7.804847	 8.138322	 7.961222	  7.36877
204771_s_at	   7.120205	 6.527844	 7.245445	 7.156976	 6.767537
204772_s_at	   7.241907	 6.887515	 6.804638	 7.218475	 6.007179
204776_at  	   5.855165	 6.357134	 5.967336	 5.916306	 6.467756
204780_s_at	   7.976328	 7.601913	 7.805338	 7.594462	 6.899359
204781_s_at	   7.815789	 7.505361	 7.595593	 7.307704	 6.697382
204835_at  	   7.511926	 6.715581	 6.232072	 6.584987	 5.799415
204853_at  	   6.848527	 6.251987	 6.069647	 6.134979	 5.621701
204858_s_at	   7.207801	 7.686434	 7.557297	 7.661776	 7.891329
204859_s_at	   4.681593	 4.055483	 4.286886	 4.482459	 4.049316
204862_s_at	   7.252247	 7.588877	 7.643921	 7.593584	 7.572399
204880_at  	   7.276087	 6.963342	 6.891875	 6.981507	 7.455495
204920_at  	   5.740428	 5.750257	 5.779318	  6.07476	 5.719159
204947_at  	   6.829663	  6.95662	 6.775948	 6.999158	 7.067027
204957_at  	   9.020243	  7.92596	 8.388471	 8.464888	 7.116125
204988_at  	   4.411809	 5.596477	 5.306636	  5.14658	 5.677364
204997_at  	   5.571978	 6.852371	 5.968569	 6.353026	 7.186017
205023_at  	   4.690044	 4.550316	 4.723578	 4.720451	 4.714122
205024_s_at	   7.975212	 7.416474	 7.131062	 7.231876	  7.64578
205032_at  	    5.18043	 5.732334	 5.307769	 5.447903	 5.390816
205034_at  	   8.195946	 5.151597	 6.016109	 5.861116	 4.826101
205035_at  	   6.690644	 6.875625	 6.597337	 6.990438	 6.854226
205047_s_at	   8.563882	 8.012963	 8.379096	 8.153395	 6.679307
205052_at  	   6.557078	 5.038678	 5.289704	 5.961471	 5.230404
205053_at  	   8.013657	  7.78247	 8.240428	 7.809528	 7.283041
205075_at  	   5.524686	 5.779569	 6.262383	  5.75051	 6.153624
205085_at  	   6.577709	 6.183525	 6.304582	 6.455241	  6.08116
205162_at  	   6.922287	 6.657476	 6.962211	 6.270303	 6.299272
205167_s_at	   5.686665	 5.631826	 5.696728	 5.679606	  5.69397
205175_s_at	   5.377439	 5.327416	 5.364421	 5.258714	 6.000638
205218_at  	   5.292665	 5.081182	 4.973261	 5.003327	  4.50832
