#Probeset  	10h_control	      10h	      14h	      18h	      24h
215695_s_at	   4.258246	  5.79244	 5.730026	 5.721925	 5.783317
215711_s_at	   7.386221	 6.732789	 7.511542	 7.289641	 6.941217
215719_x_at	   7.684107	 6.893612	 7.023008	 7.082818	 5.226345
215722_s_at	   7.954923	 8.149234	 8.538919	  8.12417	 7.785029
215794_x_at	   8.498316	 7.896182	 8.071176	 8.010732	 7.717281
215905_s_at	   9.168655	 8.536674	 8.534031	 8.616264	 7.868649
215926_x_at	    8.26649	 8.861525	 8.945173	 9.050192	 8.489968
215963_x_at	  12.181784	12.248077	12.284171	12.325854	 12.28888
215966_x_at	   5.168702	 4.864834	  5.17687	 5.152277	 5.662839
215977_x_at	   6.138423	  6.17411	 6.130603	 6.812825	 6.146905
216026_s_at	   7.280993	 7.136605	 7.551967	 7.379877	 7.605543
216061_x_at	   6.516075	 7.210537	 6.924362	 6.972935	 7.332161
216088_s_at	    8.00631	 7.586446	 7.864344	 7.933963	 6.899765
216226_at  	   5.980979	 5.359913	 5.716199	 5.681029	 4.707325
216236_s_at	   6.811244	 6.140382	 6.110984	 6.383079	 6.464731
216237_s_at	   8.563519	 7.464169	 7.782397	 7.859956	 7.071394
216238_s_at	   3.482009	 3.581715	 3.982889	 3.598574	 4.281574
216241_s_at	   9.785661	 9.511613	  9.62928	 9.574715	 9.175653
216252_x_at	   7.873767	 7.398967	 7.715952	 7.093015	  6.03712
216282_x_at	   6.065661	 5.552582	 5.541471	 5.766693	 6.821658
216306_x_at	  10.518264	10.342458	10.168897	10.628335	10.009532
216316_x_at	   6.070056	 6.155633	 6.395275	 6.139798	 6.080585
216442_x_at	   4.929961	 5.333432	 4.902361	 5.286204	  4.44896
216457_s_at	   8.049105	 7.371525	 7.187558	 7.440712	 6.313086
216505_x_at	   9.091026	 9.046847	 9.125981	 9.044583	 8.880218
216574_s_at	   6.254626	 5.800236	 5.408375	 5.802413	 6.405714
216591_s_at	   8.258072	 7.765007	 7.487734	 7.719354	 7.119686
216705_s_at	   6.035648	 6.246071	 5.971232	 6.530779	 6.398339
216711_s_at	   6.552052	 7.533493	 6.697768	 6.623951	 7.152727
216733_s_at	   5.552129	 5.977578	 5.672371	 5.928405	  5.05773
216762_at  	   4.787684	 4.744511	 4.917088	 4.739478	 5.597425
216835_s_at	   6.538933	  7.57544	 7.261061	 7.390632	 7.214819
216855_s_at	   7.497987	 7.612575	 7.799421	 7.855432	 8.104222
216941_s_at	   6.278425	 5.615937	 5.675055	 5.664059	 5.645555
216944_s_at	   4.587939	 4.755255	 4.507737	 4.596219	 4.598148
216956_s_at	   5.237145	  6.22087	 6.429751	 6.183197	 6.381712
216958_s_at	   6.907757	 6.535773	 6.536434	  6.60806	 6.064472
216977_x_at	   8.714794	 8.643006	  8.72831	 8.926145	 8.091123
217006_x_at	   5.241079	  6.45416	 6.287923	 6.473345	 6.928414
217010_s_at	   5.034444	 4.741847	 4.540018	 5.033765	 6.657465
217112_at  	   5.174489	 5.666728	  5.21185	 5.286874	 6.357181
217167_x_at	   5.822109	 5.836285	 6.042669	  6.53113	 5.998453
217202_s_at	   7.506955	 6.645068	  6.93934	 7.376651	 7.010747
217238_s_at	   4.593762	 5.078354	 4.737669	 4.799875	  5.38949
217294_s_at	  11.773543	11.520455	11.680047	11.600541	11.330111
217299_s_at	   7.141844	 5.430677	 5.562643	 5.866945	 4.764016
217356_s_at	  10.872913	 10.02524	10.118873	10.112076	 9.690333
217364_x_at	   5.135855	 5.045896	 5.002885	 4.687876	 5.266594
217370_x_at	   9.360926	 9.098931	  9.04487	 9.086474	 8.769208
217373_x_at	     8.1074	 8.428684	 9.232731	 8.320517	 7.488802
217388_s_at	   3.763099	 3.890286	   4.3003	 3.911274	 4.487603
217398_x_at	  13.023735	12.722862	12.865571	12.860478	12.798376
217420_s_at	   3.764808	 4.061793	 4.148815	 3.891099	 4.961164
217445_s_at	   5.704351	 4.542358	   4.9577	 4.742838	 4.038639
217466_x_at	  11.331643	11.173166	11.440099	11.043436	11.321433
217512_at  	   5.075392	 5.245279	 5.667416	 5.317424	 4.931361
217521_at  	   5.943116	 6.086246	 6.254091	 5.794294	 6.371929
217555_at  	   4.162516	  5.31482	 5.134983	 4.973786	  5.76896
217564_s_at	   3.879812	 3.548239	 4.207137	 3.885642	 3.491347
217583_at  	   3.929798	 4.527537	 4.576715	 4.148885	 5.175525
217717_s_at	   9.073717	 8.410486	 8.027486	 8.500538	 7.186908
217718_s_at	   10.84786	10.457629	10.424423	10.409242	 9.531623
217747_s_at	  11.720414	11.524564	11.746749	11.669875	11.318601
217757_at  	   5.448711	 5.603136	 5.399572	 5.659238	 6.239306
217801_at  	   9.967648	 9.429792	 9.711437	 9.541282	 8.659686
217848_s_at	  11.078902	10.764453	10.674869	 10.74547	10.649324
217854_s_at	  10.046676	 9.397528	  9.60889	 9.649849	 9.185686
217866_at  	   8.061557	 7.876958	  7.96715	 7.811337	 8.229807
217870_s_at	   8.629057	 7.469417	 7.831804	  7.98415	 6.667016
217874_at  	   8.711065	  8.73115	   8.7129	 8.695216	 8.098453
217876_at  	   7.115461	 6.903964	 7.101422	 7.053333	 7.286506
217917_s_at	   9.317621	 8.834067	 8.995485	 9.061414	 8.658213
217918_at  	   9.895363	 9.068834	 9.283001	 9.240177	 8.433879
218016_s_at	   7.228336	 6.475095	 7.183438	 7.298787	 6.567605
218096_at  	   8.627114	 6.903664	 7.526059	 7.684349	 6.291012
218110_at  	   5.720846	 5.876389	 5.454561	 5.968999	 6.391679
218258_at  	   9.707676	 9.622614	 9.800116	 9.461273	 8.843644
218343_s_at	   8.122915	 7.405347	  7.48412	 7.447709	 6.849033
218350_s_at	   9.100134	  8.01818	 7.924716	 7.830745	 7.247099
218381_s_at	   8.403224	 7.476365	  7.08627	 7.497091	 6.467463
